Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Los Angeles Lakers*,71,240.7,42.3,88.3,0.48,11,31.6,0.349,31.3,56.7,0.552,17.7,24.3,0.729,10.7,35.1,45.7,25.4,8.6,6.6,15.2,20.7,113.4
2,Miami Heat*,73,243.1,39.5,84.4,0.468,13.4,35.4,0.379,26,49,0.532,19.7,25.2,0.783,8.5,35.9,44.4,25.9,7.5,4.5,14.9,20.6,112
3,Denver Nuggets*,73,243.1,42,88.9,0.473,11,30.6,0.359,31.1,58.3,0.533,16.2,20.9,0.777,10.8,33.4,44.1,26.7,8,4.6,13.8,20.3,111.3
4,Boston Celtics*,72,242.1,41.3,89.6,0.461,12.6,34.5,0.364,28.7,55,0.522,18.6,23.2,0.801,10.7,35.4,46.1,23,8.3,5.6,13.8,21.6,113.7
5,Los Angeles Clippers*,72,241.4,41.6,89.2,0.466,12.4,33.5,0.371,29.1,55.8,0.522,20.8,26.3,0.791,10.7,37,47.7,23.7,7.1,4.7,14.6,22.1,116.3
6,Houston Rockets*,72,241.4,40.8,90.4,0.451,15.6,45.3,0.345,25.1,45.2,0.557,20.6,26.1,0.791,9.8,34.5,44.3,21.6,8.7,5.2,14.7,21.8,117.8
7,Toronto Raptors*,72,241.4,40.2,87.9,0.458,13.8,37,0.374,26.4,50.9,0.519,18.5,23.2,0.796,9.5,35.9,45.4,25.2,8.8,5,14.8,21.7,112.8
8,Milwaukee Bucks*,73,241,43.3,90.9,0.476,13.8,38.9,0.355,29.5,52,0.567,18.3,24.7,0.742,9.5,42.2,51.7,25.9,7.2,5.9,15.1,19.6,118.7
9,Utah Jazz*,72,241,40.1,85.1,0.471,13.4,35.2,0.38,26.7,49.9,0.535,17.8,22.8,0.779,9.1,35.8,44.9,22.4,6.1,4.1,15.1,20.4,111.3
10,Oklahoma City Thunder*,72,242.1,40,85.5,0.468,10.7,30.2,0.355,29.3,55.3,0.529,19.8,24.8,0.796,8.2,34.7,42.9,21.7,7.6,4.9,13.7,19.3,110.4
11,Dallas Mavericks*,75,242.3,41.7,90.3,0.461,15.1,41.3,0.367,26.5,49,0.541,18.6,23.8,0.779,10.5,36.4,46.9,24.7,6.1,4.8,12.7,19.5,117
12,Orlando Magic*,73,240.7,39.3,88.6,0.444,11.1,32.2,0.343,28.3,56.4,0.502,17.6,22.7,0.774,10.3,34.2,44.5,23.9,8.2,5.4,12.8,18.3,107.3
13,Portland Trail Blazers*,74,241,42.2,91.2,0.463,12.9,34.1,0.377,29.3,57.1,0.514,17.7,22.1,0.804,10.2,35.1,45.3,20.6,6.3,6.1,12.8,21.7,115
14,Brooklyn Nets*,72,242.8,40.4,90.3,0.448,13.1,38.1,0.343,27.3,52.1,0.524,17.9,24.1,0.745,10.6,37.3,47.9,24.5,6.4,4.5,15.3,21,111.8
15,Indiana Pacers*,73,241.4,42.1,88.5,0.476,10.2,28,0.363,31.9,60.4,0.529,15,19.1,0.787,8.7,34.1,42.8,25.9,7.4,5.2,13.2,19.8,109.4
16,Philadelphia 76ers*,73,241,41.1,87.9,0.468,11.6,31.6,0.368,29.5,56.3,0.524,16.9,22.4,0.755,10.5,35,45.4,25.8,8,5.3,14.2,20.9,110.7
